Allylic	JJ	0
Oxidation	NN	0
Catalyzed	VBN	0
by	IN	0
Dirhodium(II)	NN	1
Tetrakis[ε-caprolactamate]	NN	1
of	IN	0
tert-Butyldimethylsilyl-protected	JJ	1
trans-Dehydroandrosterone	NN	1
A	LS	0
.	.	0
Dirhodium(II)	RRB	1
tetrakis[ε-caprolactamate]	NN	1
acetonitrile	NN	1
solvate	NN	1
,	,	0
Rh2(cap)4(CH3CN)2	NN	1
(	LRB	0
1	CD	1
)	RRB	0
An	DT	0
oven-dried	JJ	0
250-mL	JJ	0
,	,	0
single-necked	JJ	0
(	LRB	0
24	CD	0
/	/	0
40	CD	0
joint	JJ	0
)	RRB	0
round-bottomed	JJ	0
flask	NN	0
containing	VBG	0
a	DT	0
Teflon-coated	JJ	0
stir-bar	NN	0
is	VBZ	0
charged	VBN	0
with	IN	0
dirhodium(II)	NN	1
tetraacetate	NN	1
(	LRB	0
2.00	CD	0
g	NN	0
,	,	0
4.5	CD	0
mmol	NN	0
)	RRB	0
(	LRB	0
Note	NN	0
1	CD	1
)	RRB	0
,	,	0
e-caprolactam	NN	1
(	LRB	0
11.84	CD	0
g	NN	0
,	,	0
104.6	CD	0
mmol	NN	0
)	RRB	0
(	LRB	0
Note	NN	0
2	CD	1
)	RRB	0
,	,	0
and	CC	0
dry	JJ	1
chlorobenzene	NN	1
(	LRB	0
110	CD	0
mL	NN	0
)	RRB	0
(	LRB	0
Note	NN	0
3	CD	1
)	RRB	0
The	DT	0
flask	NN	0
is	VBZ	0
fitted	VBN	0
with	IN	0
a	DT	0
Soxhlet	NN	0
extraction	NN	0
apparatus	NN	0
(	LRB	0
Note	NN	0
4	CD	1
)	RRB	0
containing	VBG	0
a	DT	0
thimble	NN	0
with	IN	0
30	CD	0
g	NN	0
of	IN	0
an	DT	0
oven-dried	JJ	0
Na2CO3	NN	1
and	CC	0
sand	NN	0
mixture	NN	0
in	IN	0
a	DT	0
3	CD	1
:	:	0
1	CD	1
ratio	NN	0
(	LRB	0
Note	NN	0
5	CD	1
)	RRB	0
An	DT	0
additional	JJ	0
50	CD	0
mL	NN	0
of	IN	0
chlorobenzene	NN	1
is	VBZ	0
added	VBN	0
to	TO	0
partially	RB	0
fill	VB	0
the	DT	0
thimble-chamber	NN	0
of	IN	0
the	DT	0
Soxhlet	NN	0
apparatus	NN	0
The	DT	0
mixture	NN	0
is	VBZ	0
refluxed	VBN	0
at	IN	0
185	CD	0
°C	NN	0
(	LRB	0
external	JJ	0
temperature	NN	0
)	RRB	0
open	JJ	0
to	TO	0
the	DT	0
atmosphere	NN	0
(	LRB	0
Note	NN	0
6	CD	0
)	RRB	0
,	,	0
and	CC	0
after	IN	0
only	RB	0
15	CD	0
min	NN	0
the	DT	0
color	NN	0
of	IN	0
the	DT	0
solution	NN	0
turns	VBZ	0
from	IN	0
green	JJ	0
to	TO	0
dark	JJ	0
blue	NN	0
After	IN	0
10	CD	0
h	NN	0
the	DT	0
vessel	NN	0
is	VBZ	0
removed	VBN	0
from	IN	0
the	DT	0
oil	NN	0
bath	NN	0
,	,	0
the	DT	0
Soxhlet	NN	0
extraction	NN	0
apparatus	NN	0
is	VBZ	0
removed	VBN	0
,	,	0
and	CC	0
the	DT	0
solvent	JJ	0
is	VBZ	0
